Campaign,Type,Product,Channel,Advertiser,Industry,Agency,SFDC OID,Rep_ID,CPA/CPM,Start Date,End Date,CPM Price,Contracted Impressions,Booked Impressions,Delivered Impressions,Contracted Deal,Revised Deal,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01
1-800-Dentist- Feb April 2012 CPA,Perf LAL,Perf LAL,Inside,1-800-Dentist,FS: Other,Direct,,,CPA,2012-02-01,2012-04-30,,,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222.22222222222,3444.44444444444,3333.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-800-Flowers - Dec 2011,Perf LAL,Perf LAL,Inside,1-800-Flowers,Retail,Direct,,,CPM,2011-11-28,2012-01-01,5.0,19000000,,,70000.0,95000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8142.85714285714,84142.8571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-800-Flowers - Nov 2011,Perf LAL,Perf LAL,Inside,1-800-Flowers,Retail,Direct,,,CPM,2011-11-03,2011-11-27,5.0,8000000,,,40000.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-800 Mattress.com Q4,Perf LAL,Perf LAL,Inside,1-800 Mattress,Retail,Traffiq,,,CPM,2011-10-02,2011-12-31,3.5,16302937,,,47060.28,57060.28,0,0,0,0,0,0,0,0,0,0,0,0,0,18811.0813186813,18811.0813186813,19438.1173626374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: April - May 2012 ,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,,,CPA,2012-04-11,2012-05-11,50.0,200,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6451.61290322581,3548.38709677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: June-July 2012,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,,,CPA,2012-06-16,2012-07-31,30.0,666,,,19980.0,19980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6515.21739130435,13464.7826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: Nov - Dec  2012,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,13534,,CPA,2012-11-08,2012-12-31,35.0,1143,,,40005.0,40005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16605.8490566038,23399.1509433962,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: Sept - November 2012,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,12225,,CPA,2012-09-24,2012-11-07,30.0,666,,,19980.0,19980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3108.0,13764.0,3108.0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: Stock Photographs and Illustrations,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,,,CPM,2011-10-05,2011-11-14,3.5,7142857,,,25000.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16463.4146341463,8536.58536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123rf_CPA_Jan2013,Perf LAL,Perf LAL,Inside,123rf,Web Media,Direct,15199,,CPA,2013-01-15,2013-03-31,0.0,,,,60000.0,60000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13421.0526315789,22105.2631578947,24473.6842105263,0,0,0,0,0,0,0,0,0
2011 - Pfresh Cycle 10,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,6060,,CPM,2011-09-25,2011-11-05,4.0,28617630,,,114470.5,114470.5,0,0,0,0,0,0,0,0,0,0,0,0,16352.9285714286,84490.130952381,13627.4404761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 - Pfresh Cycle 7,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,,,CPM,2011-07-10,2011-08-21,4.5,78299767,,,352348.94,352348.94,0,0,0,0,0,0,0,0,0,0,180271.550697674,172077.389302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Deluxe Campaign,Perf LAL,Perf LAL,Inside,Deluxe,FS: Other,Riley Hayes,,,CPM,2011-10-01,2011-10-31,5.0,3000000,,,15000.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Pfresh,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,,,CPM,2011-03-27,2011-04-24,6.0,34809523,,,208857.13,208228.62,0,0,0,0,0,0,35901.4862068966,172327.133793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012 Pfresh Cycle 6,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,,,CPM,2011-05-22,2011-07-03,4.5,55592585,,,250166.66,250166.66,0,0,0,0,0,0,0,0,58178.2930232558,174534.879069767,17453.4879069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20X200 Purchasers CPA Campaign - Aug 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,,,CPA,2012-08-01,2012-08-31,30.0,667,,,20010.0,20010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20X200 Purchasers CPA Campaign - July 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,,,CPA,2012-07-02,2012-07-31,30.0,666,,,19980.0,19980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20x200 Purchasers CPA Campaign - June 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,,,CPA,2012-06-01,2012-06-30,25.0,745,,,20000.0,19990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20x200 Purchasers CPA Campaign - March 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,,,CPA,2012-03-01,2012-04-30,,739,,,10000.0,19620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9970.82167159366,9649.18226283257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20x200 Purchasers CPA Campaign - May 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,,,CPA,2012-05-01,2012-05-31,30.0,491,,,14730.0,14730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20X200 Purchasers CPA Campaign - Nov 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,13462,,CPA,2012-11-01,2012-11-30,35.0,571,,,19985.0,19985.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19985.0,0,0,0,0,0,0,0,0,0,0,0,0,0
20X200 Purchasers CPA Campaign - October 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,12611,,CPA,2012-10-01,2012-10-31,35.0,628,,,19985.0,21980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20X200 Purchasers CPA Campaign - September 2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,,,CPA,2012-09-01,2012-09-30,,592,,,20010.0,19990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20x200_CPA_Dec2012,Perf LAL,Perf LAL,Inside,20x200,Retail,Direct,13930,,CPA,2012-12-07,2012-12-31,35.0,285,,,9975.0,9975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9975.0,0,0,0,0,0,0,0,0,0,0,0,0
21st Century Insurance,Perf LAL,Perf LAL,Inside,21st Century Insurance,FS: Insurance,TPG Direct,,,CPM,2011-01-01,2011-12-31,3.0,241723013,,,100000.0,765169.04,0,0,0,0,64986.9595616438,58697.8989589041,64986.9595616438,62890.6060273973,64986.9595616438,62890.6060273973,64986.9595616438,64986.9595616438,62890.6060273973,64986.9595616438,62890.6060273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3balls Converters,Perf LAL,Perf LAL,Inside,3balls,Retail,Direct,,,CPA,2012-05-15,2012-06-28,,498,,,9982.0,9991.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285.74074074074,4705.25925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3balls Converters: Q3 2012,Perf LAL,Perf LAL,Inside,3balls,Retail,Direct,,,CPA,2012-07-13,2012-09-10,12.0,833,,,9996.0,9996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165.4,5164.6,1666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 Tips to Lose Stomach Fat - Q4 2011,Perf LAL,Perf LAL,Inside,5 Tips to Lose Stomach Fat,FS: Other,Direct,,,CPM,2011-10-26,2011-12-31,3.5,4285714,,,15000.0,17500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567.16417910448,7835.82089552239,8097.01492537314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A&E: Storage Wars,Perf LAL,Perf LAL,Inside,A&E,Entertainment,Horizon Media,,,CPM,2011-07-01,2011-07-20,6.55,7638889,,,50000.0,50000.0,0,0,0,0,0,0,0,0,0,0,50000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA Northern New England & MO CPA  Oct 2012,Perf LAL,Perf LAL,Inside,Automobile Club of Southern California,FS: Insurance,ConvergeDirect,12791,,CPA,2012-10-15,2012-11-30,,103,,,5980.0,7980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080.0,5900.0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA Southern California & Texas Auto Insurance CPA  Sep-Oct 2012,Perf LAL,Perf LAL,Inside,Automobile Club of Southern California,FS: Insurance,ConvergeDirect,11930,,CPA,2012-09-20,2012-10-31,,715,,,27930.0,24930.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970.0,21960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA Southern California & Texas Auto Insurance CPA Nov 2012,Perf LAL,Perf LAL,Inside,Automobile Club of Southern California,FS: Insurance,ConvergeDirect,13482,,CPA,2012-11-01,2012-11-30,60.0,216,,,12960.0,12900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600.0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA Southern California Auto Insurance CPA Nov 2012,Perf LAL,Perf LAL,Inside,Automobile Club of Southern California,FS: Insurance,ConvergeDirect,13579,,CPA,2012-11-05,2012-11-30,30.0,576,,,15990.0,19990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990.0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAASouthernCalifornia_CPA_Dec2012,Perf LAL,Perf LAL,Inside,AAA Southern California,Auto,ConvergeDirect,14009,,CPA,2012-12-01,2012-12-31,40.0,500,,,20000.0,35000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000.0,0,0,0,0,0,0,0,0,0,0,0,0
AAASouthernCalifornia_CPA_Jan2013,Perf LAL,Perf LAL,Inside,AAA Southern California,Auto,ConvergeDirect,14450,,CPA,2013-01-01,2013-01-31,30.0,1016,,,30500.0,30480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30500.0,0,0,0,0,0,0,0,0,0,0,0
AAASouthernCalifornia_CPA_MONNE_Jan2013,Perf LAL,Perf LAL,Inside,AAA Southern California,Auto,ConvergeDirect,14452,,CPA,2013-01-01,2013-01-31,,337,,,9420.0,9420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9420.0,0,0,0,0,0,0,0,0,0,0,0
AAASouthernCalifornia_CPA_Texas_Jan2013,Perf LAL,Perf LAL,Inside,AAA Southern California,Auto,ConvergeDirect,14449,,CPA,2013-01-01,2013-01-31,80.0,337,,,26960.0,26960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26960.0,0,0,0,0,0,0,0,0,0,0,0
AAASouthernCalifornia_NNE_MO_CPA_Dec2012,Perf LAL,Perf LAL,Inside,AAA Southern California,Auto,ConvergeDirect,13964,,CPA,2012-12-01,2012-12-31,,136,,,7460.0,11210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11210.0,0,0,0,0,0,0,0,0,0,0,0,0
AAASouthernCalifornia_TX_CPA_Dec2012,Perf LAL,Perf LAL,Inside,AAA Southern California,Auto,ConvergeDirect,14011,,CPA,2012-12-01,2012-12-31,80.0,193,,,15440.0,22200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200.0,0,0,0,0,0,0,0,0,0,0,0,0
ActionAid: Q2 Charity Test **Cancelled on 7/15**,Perf LAL,Perf LAL,Direct UK,ActionAid,FS: Other,Rapp,0,,CPM,2011-05-26,2011-07-15,1.57,7481418,,,11764.53,11760.4680289341,0,0,0,0,0,0,0,0,2152.23482851864,10761.1741425932,5380.5870712966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Active Network: RegOnline Test (Value Add),Perf LAL,Perf LAL,Inside,Active Network,FS: Other,Active Network,,,CPM,2011-04-21,2011-07-05,3.5,3000000,,,10000.0,10000.0,0,0,0,0,0,0,0,1315.78947368421,4078.94736842105,3947.36842105263,657.894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdamandEve_CPA_Jan2013,Perf LAL,Perf LAL,Inside,Adam and Eve,Other,"Media Horizons, Inc.",14818,,CPA,2013-01-16,2013-03-14,0.0,,,,15000.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137.93103448276,7241.37931034483,3620.68965517241,0,0,0,0,0,0,0,0,0
Adbance America CPA Jan 2013,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,14623,,CPA,2013-01-01,2013-01-31,15.0,964,,,14460.0,14460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14460.0,0,0,0,0,0,0,0,0,0,0,0
Adchemy Degrees CPA Jan -2013,Perf LAL,Perf LAL,Inside,Adchemy Inc.,Education,Direct,14048,,CPA,2013-01-04,2013-02-04,20.0,500,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8750.0,1250.0,0,0,0,0,0,0,0,0,0,0
Adchemy Rate Marketplace Jan 2013,Perf LAL,Perf LAL,Inside,Adchemy Inc.,Education,Direct,14049,,CPA,2013-01-04,2013-02-04,25.0,400,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8750.0,1250.0,0,0,0,0,0,0,0,0,0,0
ADT Security Services,Perf LAL,Perf LAL,Inside,ADT Services,FS: Other,Razorfish,,,CPM,2011-05-13,2011-09-30,2.0,41666664,,,144000.0,125139.58,0,0,0,0,0,0,0,0,16862.7802836879,26625.4425531915,27512.9573049645,27512.9573049645,26625.4425531915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT Security Services - October 2011 *Cancelled 12/2*,Perf LAL,Perf LAL,Inside,ADT Services,FS: Other,Razorfish,,,CPA,2011-10-01,2011-12-02,70.0,321,,,10040.0,17950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8533.60655737705,8827.86885245902,588.524590163934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT SMB 2011,Perf LAL,Perf LAL,Inside,ADT Services,FS: Other,Razorfish,,,CPM,2011-08-04,2011-09-30,3.0,8333333,,,15000.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,12068.9655172414,12931.0344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-04-04,2011-05-29,3.0,10000000,,,30000.0,30000.0,0,0,0,0,0,0,0,14464.2857142857,15535.7142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: August - October CPA 2012,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,11631,,CPA,2012-08-15,2012-12-31,15.0,1516,,,22740.0,62430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5685.0,11370.0,13560.0,22320.0,9495.0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: August 2012,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,0,,CPA,2012-08-01,2012-08-12,15.0,758,,,11370.0,8775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: Dec 2011,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-12-01,2011-12-31,3.0,9138333,,,27415.0,33651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: July-Sept 2011,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-07-01,2011-09-30,3.0,16000000,,,48000.0,53000.0,0,0,0,0,0,0,0,0,0,0,17858.6956521739,17858.6956521739,17282.6086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: July 2012,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPA,2012-07-01,2012-07-31,15.0,971,,,14565.0,14565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: June 2011,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-06-21,2011-06-30,3.0,1016000,,,3048.0,3048.0,0,0,0,0,0,0,0,0,0,3048.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: June 2012,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPA,2012-06-01,2012-06-30,15.0,685,,,10275.0,18275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: May 2012,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPA,2012-05-04,2012-05-31,15.0,666,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: Nov 2011,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-11-01,2011-11-30,3.0,11305333,,,33916.0,25347.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25347.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: Sept-Oct 2011,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-10-01,2011-10-31,3.0,17036333,,,51109.0,51109.0,0,0,0,0,0,0,0,0,0,0,0,0,25135.5737704918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: Sept-Oct 2011,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-09-01,2011-09-30,3.0,17036333,,,51109.0,51109.0,0,0,0,0,0,0,0,0,0,0,0,0,25135.5737704918,25973.4262295082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance America: Sept-Oct 2011,Perf LAL,Perf LAL,Inside,Advance America,Finance,Erwin-Penland,,,CPM,2011-10-01,2011-10-31,3.0,17036333,,,51109.0,51109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25973.4262295082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aether Apparel: Summer 2011,Perf LAL,Perf LAL,Inside,Aether Apparel,Retail,"Criterion Global, Inc.",,,CPM,2011-07-07,2011-07-27,5.0,1000000,,,5000.0,5000.0,0,0,0,0,0,0,0,0,0,0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aetna 2011 IVS B2C - Corporate Branding,Perf LAL,Perf LAL,Inside,Aetna - Harmelin,FS: Insurance,G2 Direct & Digital,,,CPM,2011-10-01,2011-11-20,16.0,3281250,,,50000.0,50000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30392.1568627451,19607.8431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aetna Healthy Food Fight: Local Q3-Q4 2011,Perf LAL,Perf LAL,Inside,Aetna - Medicare,FS: Insurance,G2 Direct & Digital,,,CPM,2011-08-23,2011-10-20,5.5,10909091,,,60000.0,60000.0,0,0,0,0,0,0,0,0,0,0,0,9152.54237288136,30508.4745762712,20338.9830508475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aetna Healthy Food Fight: National,Perf LAL,Perf LAL,Inside,Aetna - Medicare,FS: Insurance,G2 Direct & Digital,,,CPM,2011-08-22,2011-11-06,4.25,23529411,,,80000.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,12987.012987013,38961.038961039,40259.7402597403,7792.20779220779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aetna Medicare - ""OE Q4""",Perf LAL,Perf LAL,Inside,Aetna - Medicare,FS: Insurance,G2 Direct & Digital,,,CPM,2011-10-03,2011-12-06,4.25,44352941,,,85000.0,180000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,80307.6923076923,83076.9230769231,16615.3846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aetna Medicare - ""Pre-OE"" 2011",Perf LAL,Perf LAL,Inside,Aetna - Medicare,FS: Insurance,G2 Direct & Digital,,,CPM,2011-08-31,2011-10-02,4.25,17647058,,,75000.0,75000.0,0,0,0,0,0,0,0,0,0,0,0,2272.72727272727,68181.8181818182,4545.45454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aetna Medicare - PDP Q4,Perf LAL,Perf LAL,Inside,Aetna - Medicare,FS: Insurance,G2 Direct & Digital,,,CPM,2011-10-03,2011-12-06,4.25,43882353,,,150000.0,186500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,83207.6923076923,86076.9230769231,17215.3846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aflac Consumer Display Q1-Q4 (includes value add),Perf LAL,Perf LAL,Inside,Aflac,FS: Insurance,Digitas,,,CPM,2011-03-09,2011-12-31,,51774892,,,200000.0,250000.0,0,0,0,0,0,0,19295.3020134228,25167.7852348993,26006.711409396,25167.7852348993,26006.711409396,26006.711409396,25167.7852348993,26006.711409396,25167.7852348993,26006.711409396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Airlines Air Bookings CPA Oct - Dec 2012,Perf LAL,Perf LAL,Inside,Alaska Airlines,Travel,Ad Ready,12747,,CPA,2012-10-01,2012-12-31,4.0,63561,,,254244.0,254244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84748.0,84748.0,84748.0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Airlines: Ticket Purchasers - July - September 2012,Perf LAL,Perf LAL,Inside,Alaska Airlines,Travel,Ad Ready,,,CPA,2012-07-01,2012-09-30,4.0,30477,,,16360.0,122308.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37384.0,43158.0983606557,41765.9016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlaskaAirlines_CPA_Jan2013,Perf LAL,Perf LAL,Inside,Alaska Airlines,Travel,Adready,14729,,CPA,2013-01-01,2013-03-31,0.0,,,,254244.0,262744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90500.7111111111,81742.5777777778,90500.7111111111,0,0,0,0,0,0,0,0,0
All Posters 2011 Campaign,Perf LAL,Perf LAL,Inside,All Posters,FS: Other,Black Bag Advertising,,,CPM,2011-08-01,2011-09-30,3.25,3846154,,,12500.0,12500.0,0,0,0,0,0,0,0,0,0,0,0,6352.45901639344,6147.54098360656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
