Campaign,Type,Product,Channel,Advertiser,Industry,Agency,SFDC OID,Rep_ID,CPA/CPM,Start Date,End Date,CPM Price,Contracted Impressions,Booked Impressions,Delivered Impressions,Contracted Deal,Revised Deal,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01
Papyrus Test,Perf LAL,Perf LAL,Inside,Papyrus,Retail,SRG Retail,,,CPM,2011-03-21,2011-04-30,3.5,5714286,,,20000.0,8158.93,0,0,0,0,0,0,2188.98121951219,5969.9487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepperdine FEMBA *CANCELLED*,Perf LAL,Perf LAL,Inside,Pepperdine University,Education,Palisades,,,CPM,2011-02-24,2011-05-31,4.0,11795150,,,47181.0,39207.06,0,0,0,0,0,2020.9824742268,12530.0913402062,12125.8948453608,12530.0913402062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepperdine FTMBA,Perf LAL,Perf LAL,Inside,Pepperdine University,Education,Palisades,,,CPM,2011-02-24,2011-04-30,4.0,9250000,,,25000.0,37000.0,0,0,0,0,0,2803.0303030303,17378.7878787879,16818.1818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepperdine FTMBA - FY 12,Perf LAL,Perf LAL,Inside,Pepperdine University,Education,Palisades,,,CPM,2011-10-01,2012-04-22,4.0,15500000,,,70000.0,62000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9375.60975609756,6956.09756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigeon Forge Tourism: Winterfest,Perf LAL,Perf LAL,Inside,Pigeon Forge Tourism,Travel,USDM,,,CPM,2011-11-15,2012-02-28,4.0,1750000,,,7000.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056.60377358491,2047.16981132075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinchit: New Subscribers CPM Calibration,Perf LAL,Perf LAL,Inside,Pinchit,FS: Other,Direct,,,CPM,2011-12-15,2012-01-25,3.0,3333333,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4047.61904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plan UK CPA Feb 2013 Campaign,Perf LAL,Perf LAL,Direct UK,Plan UK,FS: Other,Agenda 21 Digital,0,,CPA,2013-02-01,2013-02-28,17.0,392,,,6664.0,6664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10366.1852,0,0,0,0,0,0,0,0,0,0
Plum District - April 2012,Perf LAL,Perf LAL,Inside,Plum District,FS: Other,Direct,,,CPA,2012-04-20,2012-04-30,10.0,1500,,,15000.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum District - Dec 2011,Perf LAL,Perf LAL,Inside,Plum District,FS: Other,Direct,,,CPM,2011-12-02,2011-12-31,3.5,28571429,,,100000.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum District - March 2012,Perf LAL,Perf LAL,Inside,Plum District,FS: Other,Direct,,,CPA,2012-03-16,2012-03-31,10.0,2500,,,25000.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum District - May-June 2012 *Paused 6/21*,Perf LAL,Perf LAL,Inside,Plum District,FS: Other,Direct,,,CPA,2012-05-01,2012-06-30,10.0,10000,,,50000.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50819.6721311475,49180.3278688525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum District - New Purchasers,Perf LAL,Perf LAL,Inside,Plum District,FS: Other,Direct,,,CPM,2011-09-19,2011-10-19,3.5,7142857,,,25000.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,9677.41935483871,15322.5806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum District - Nov 2011,Perf LAL,Perf LAL,Inside,Plum District,FS: Other,Direct,,,CPM,2011-10-26,2011-11-30,3.5,25714286,,,75000.0,90000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000.0,75000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum District - Q3 2012 *Cancelled*,Perf LAL,Perf LAL,Inside,Plum District,FS: Other,Direct,,,CPA,2012-07-02,2012-09-30,12.0,10000,,,120000.0,39996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pogo.com: Registration,Perf LAL,Perf LAL,Inside,Pogo.com,Entertainment,iProspect,,,CPA,2011-10-01,2011-12-31,2.0,15000,,,30000.0,30000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10108.6956521739,9782.60869565217,10108.6956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positively Cleavland: Q3-Q4,Perf LAL,Perf LAL,Inside,Positively Cleveland,Travel,Direct,,,CPM,2011-09-15,2011-10-14,4.0,3500000,,,14000.0,14000.0,0,0,0,0,0,0,0,0,0,0,0,0,7466.66666666667,6533.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powwownow - Nov 2011,Perf LAL,Perf LAL,Direct UK,Powwownow,Telecom,All Response Media,0,,CPM,2011-11-10,2011-12-01,1.3175,1935483,,,2550.0,2550.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2974.989375,141.666160714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Practice Fusion: CPA July-Aug 2012,Perf LAL,Perf LAL,Inside,Practice Fusion,FS: Other,Direct,,,CPA,2012-07-16,2012-08-17,50.0,200,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4848.48484848485,5151.51515151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Printingforless.com: Online New Printing CPA: July-Aug 2012,Perf LAL,Perf LAL,Inside,Printingforless.com,FS: Other,Direct,,,CPA,2012-07-15,2012-08-14,12.5,800,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5483.87096774194,4516.12903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Printingforless.com: Online New Printing CPA: June 2012,Perf LAL,Perf LAL,Inside,Printingforless.com,FS: Other,Direct,,,CPA,2012-06-01,2012-06-30,12.5,800,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosper Marketplace Listings: Aug-Sep 2012,Perf LAL,Perf LAL,Inside,Prosper Marketplace Inc.,Other,Direct,,,CPA,2012-08-21,2012-09-30,100.0,50,,,5000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.46341463415,3658.53658536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosper Marketplace Listings: Nov-Dec 2012,Perf LAL,Perf LAL,Inside,Prosper Marketplace Inc.,,Direct,13698,,CPA,2012-11-09,2012-12-07,100.0,150,,,15000.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11379.3103448276,3620.68965517241,0,0,0,0,0,0,0,0,0,0,0,0
Prosper Marketplace Listings: Oct 2012,Perf LAL,Perf LAL,Inside,Prosper Marketplace Inc.,Other,Direct,12763,,CPA,2012-10-01,2012-10-31,100.0,135,,,13500.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protect America: July 2012 CPA,Perf LAL,Perf LAL,Inside,Protect America,FS: Other,Direct,,,CPA,2012-07-02,2012-07-31,20.0,500,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protect America: May-June 2012 CPA,Perf LAL,Perf LAL,Inside,Protect America,FS: Other,Direct,,,CPA,2012-05-24,2012-06-13,20.0,250,,,5000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904.7619047619,3095.2380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protect America: Oct - Nov 2012 CPA,Perf LAL,Perf LAL,Inside,Protect America,FS: Other,Direct,12721,,CPA,2012-10-01,2012-11-12,20.0,500,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7209.3023255814,2790.6976744186,0,0,0,0,0,0,0,0,0,0,0,0,0
